page_number,extracted_urls
11,/-/es/Latitude-computadora-10-Professional-reacondicionado-certificado/dp/B077T4MYJY
11,/-/es/Almacenamiento-1024x600-Pantalla-Parental-Playstore/dp/B08L744VCP
11,/-/es/MatrixPad-pulgadas-pantalla-preinstalado-Kid-Proof/dp/B089DCH39Y
11,/-/es/ZenBook-Laptop-Pantalla-t%C3%A1ctil-Platform/dp/B08H6SCT6Q
11,/-/es/Microsoft-pantalla-cubierta-superficie-generaci%C3%B3n/dp/B081XQW8XG
11,/-/es/Samsung-Android-Bluetooth-accesorios-fantasma/dp/B08BCFY8TS
11,/-/es/pulgadas-pantalla-generaci%C3%B3n-bater%C3%ADa-Thunderbolt/dp/B082XQR86N
11,/-/es/HP-port%C3%A1til-pulgadas-procesador-Quad-Core/dp/B08L74Z1YK
11,/-/es/Raider-i7-10750H-RTX2060-17-3-FHD-Windows/dp/B088WG95P5
11,/-/es/EliteDesk-800-Mini-Professional-bits-multi-idioma-ingl%C3%A9s/dp/B07J2TFW5T
11,/-/es/Envy-pantalla-t%C3%A1ctil-port%C3%A1til-Intel/dp/B08996DKMJ
11,/-/es/P31/dp/B08FD4DFLC
11,/-/es/Display-Pentium-Processor-Windows-Scarlet/dp/B08HHT31TS
11,/-/es/HP-Chromebook-Laptop-11-pulgadas/dp/B08H6YZY3Y
11,/-/es/desbloqueado-f%C3%A1brica-espacial-reciente-renovado/dp/B07GY3HBZ9
11,/-/es/Acer-Chromebook-VertiView-i5-10210U-memoria/dp/B08DTJC9N7
11,/-/es/L10-Octa-Core-pantalla-Bluetooth-altavoces/dp/B087P2R369
11,/-/es/ASUS-VivoBook-F412DA-Ordenador-retroiluminaci%C3%B3n/dp/B07W7PWTL5
11,/-/es/3100/dp/B089P36FXC
11,/-/es/Android-Tablet-Bundle-Bumper-Auriculares/dp/B08JWTCWXP
11,/-/es/Lenovo-ThinkCentre-M630e-Desktop-Computer/dp/B07YG3SGHM
12,/-/es/Lenovo-Legion-Y540-Gaming-Laptop/dp/B0892RYBRB
12,/-/es/Chromebook-3120-Dell-renovada-Negro/dp/B07V1W1T8S
12,/-/es/Latitude-i5-6300U-teclado-retroiluminado-renovado/dp/B076QGDQGW
12,/-/es/HeroBook-Pro-pulgadas-ordenador-port%C3%A1til/dp/B08316YSKH
12,/-/es/Celeron-Graphics-14-cb164wm-brillante-renovado/dp/B07XYDZ7QC
12,/-/es/NP767XCM-K01US/dp/B088XYCZ79
12,/-/es/Inspiron-procesador-i3-1005G1-generaci%C3%B3n-Bluetooth/dp/B087ZR3671
12,/-/es/rendimiento-Quad-Core-almacenamiento-Bluetooth-desmontable/dp/B07YYJVDCS
12,/-/es/Zephyrus-GeForce-i7-10875H-Thunderbolt-GX502LXS-XS79/dp/B0876MBLTN
12,/-/es/ASUS-Zephyrus-memoria-GeForce-Moonlight/dp/B088PDB63Z
12,/-/es/Intel-Core-i5-8259U-8GB-256GB/dp/B08T657SM1
12,/-/es/Microsoft-Surface-Intel-versi%C3%B3n-reciente/dp/B078Z37H9T
12,/-/es/VivoBook-Touchscreen-Processor-Fingerprint-J401MA-DB02/dp/B08D63M8BH
12,/-/es/kids707/dp/B085HC7S5F
12,/-/es/HeroBox-procesador-Gemini-Lake-ampliable-pulgadas/dp/B082VZP76P
12,/-/es/KINGPAD-K10/dp/B08T8XZPC1
12,/-/es/HP-2019-14-Laptop-14-CF0014DX/dp/B07KNLVRJ2
12,/-/es/Pavilion-15-Inch-Micro-Edge-i5-9300H-Processor/dp/B08FCQ86F7
12,/-/es/SKW-00001-Microsoft-Surface-Go-3/dp/B086QRVL8P
12,/-/es/MAX10-Plus-resoluci%C3%B3n-procesador-almacenamiento/dp/B08R7K9F5X
12,/-/es/pulgadas-pantalla-protecci%C3%B3n-seguridad-aplicaci%C3%B3n/dp/B07PF26QTL
12,/-/es/Acer-Ordenador-escritorio-procesador-generaci%C3%B3n/dp/B07R8WJMW6
12,/-/es/Chromebook-pulgadas-almacenamiento-port%C3%A1til-renovado/dp/B07P23W6JV
12,/-/es/MatrixPad-S21-pulgadas-Octa-Core-Bluetooth/dp/B0861QVWY5
13,/-/es/Samsung-Chromebook-Celeron-Procesador-Gigabit/dp/B0888FPFGK
13,/-/es/reciente-Dell-Inspiron-pulgadas-Bluetooth/dp/B07Y5P8L5Y
13,/-/es/KingPad-SA10/dp/B08K8FHX6V
13,/-/es/port%C3%A1til-pulgadas-DVD-Writer-Windows-17-ca2020nr/dp/B085YWHS2L
13,/-/es/CoreBox-Windows-sobremesa-Ethernet-decodificaci%C3%B3n/dp/B08M3GZPS3
13,/-/es/MacBook-pulgadas-almacenamiento-espacial-renovado/dp/B08CCKVS59
13,/-/es/Tableta-Samsung-Galaxy-wifi-Negro/dp/B07Q84QRKD
13,/-/es/Android-pulgadas-procesador-pantalla-Bluetooth/dp/B08CS9HG6M
13,/-/es/Razer-Blade-Advanced-Gaming-Laptop/dp/B086M8PQYR
13,/-/es/port%C3%A1til-pantalla-pulgadas-Personal-Accesorios/dp/B08NM1R8GC
13,/-/es/dp/B088H3YKY5
